Error Type,codellama_few,codellama_one,codellama_zero,starcoder2_few,starcoder2_one,starcoder2_zero,wizardcoder_few,wizardcoder_one,wizardcoder_zero
AttributeError,1,0,5,0,0,0,0,0,0
EOFError,6,0,21,0,0,1,2,2,0
EmptyError,45,664,256,232,213,1015,18,29,4389
IOError,0,0,0,0,0,1,0,0,0
IncompleteTraceback,1,0,2,0,0,1,0,0,0
IndentationError,2,0,18,0,0,0,0,0,0
IndexError,1,0,22,0,0,0,3,0,0
InvalidIntCast,10,0,23,0,0,2,11,8,0
KeyError,0,0,2,0,0,0,0,0,0
LLMTokenArtifact,0,0,0,3,3,25,0,0,0
MalformedExpression,1,0,27,0,0,9,31,24,0
MarkdownBlockError,0,0,6,0,0,1,85,97,0
MissingImport,5,0,9,0,0,0,5,2,0
NameError,12,0,79,1,1,1,9,3,0
NaturalLanguageInCode,6,0,75,0,1,3,3,3,0
OtherError,0,0,1,0,0,0,0,0,0
Python2RawInput,1,0,4,0,0,0,0,0,0
RuntimeError,0,0,1,0,0,0,0,0,0
StatisticsError,0,0,1,0,0,0,0,0,0
SyntaxError,28,0,333,15,29,191,49,45,0
TypeError,4,0,40,0,0,0,5,5,0
UnboundLocalError,1,0,2,0,0,0,0,0,0
UnpackError,15,0,3,0,1,0,4,3,0
ValueError,7,0,4,0,1,0,2,2,0
ZeroDivisionError,0,0,1,0,0,0,1,0,0
